b, table_size, exe_time, filename
27183, 402221, 0.4490010738, english_small.txt
250726, 1000081, 0.4640014172, english_small.txt
27183, 402221, 1.1299734116, english_large.txt
250726, 1000081, 1.1339991093, english_large.txt
27183, 402221, 1.3360967636, french.txt
250726, 1000081, 1.3480021954, french.txt
